chunk_id,QuestionID,Category,QuestionType,QuestionTime,chunk_index,chunk_text,search_text,lexical_tokens
row_10_chunk_0,C9Q22450,Home and Kitchen,open-ended,2014-02-09,0,could buy queen size pad fit full size bed think would way big,Home and Kitchen open-ended could buy queen size pad fit full size bed think would way big,"['home', 'and', 'kitchen', 'open', 'ended', 'could', 'buy', 'queen', 'size', 'pad', 'fit', 'full', 'size', 'bed', 'think', 'would', 'way', 'big']"
row_11_chunk_0,C15Q4392,Tools and Home Improvement,open-ended,2014-09-16,0,colors specificaton 110 watts,Tools and Home Improvement open-ended colors specificaton 110 watts,"['tools', 'and', 'home', 'improvement', 'open', 'ended', 'colors', 'specificaton', '110', 'watts']"
row_12_chunk_0,C3Q5756,Beauty,open-ended,2014-08-06,0,australia led lamp us plug possible get australian plug fitting im simply consumer expert directions mention acrylic nails assume gel nails,Beauty open-ended australia led lamp us plug possible get australian plug fitting im simply consumer expert directions mention acrylic nails assume gel nails,"['beauty', 'open', 'ended', 'australia', 'led', 'lamp', 'us', 'plug', 'possible', 'get', 'australian', 'plug', 'fitting', 'im', 'simply', 'consumer', 'expert', 'directions', 'mention', 'acrylic', 'nails', 'assume', 'gel', 'nails']"
row_13_chunk_0,C7Q608,Grocery and Gourmet Food,open-ended,2014-12-14,0,get cup full coffee grounds every time try use k2v let say first got item scattered grounds everywhere going send back discovered didnt filter way soon realized fixed never spilled grounds love filter use k cups cause better bigger selection,Grocery and Gourmet Food open-ended get cup full coffee grounds every time try use k2v let say first got item scattered grounds everywhere going send back discovered didnt filter way soon realized fixed never spilled grounds love filter use k cups cause better bigger selection,"['grocery', 'and', 'gourmet', 'food', 'open', 'ended', 'get', 'cup', 'full', 'coffee', 'grounds', 'every', 'time', 'try', 'use', 'k2v', 'let', 'say', 'first', 'got', 'item', 'scattered', 'grounds', 'everywhere', 'going', 'send', 'back', 'discovered', 'didnt', 'filter', 'way', 'soon', 'realized', 'fixed', 'never', 'spilled', 'grounds', 'love', 'filter', 'use', 'k', 'cups', 'cause', 'better', 'bigger', 'selection']"
row_14_chunk_0,C15Q4867,Tools and Home Improvement,yes/no,2014-07-10,0,get plastic washer listing says plastic washer ring needed measure lamp socket,Tools and Home Improvement yes/no get plastic washer listing says plastic washer ring needed measure lamp socket,"['tools', 'and', 'home', 'improvement', 'yes', 'no', 'get', 'plastic', 'washer', 'listing', 'says', 'plastic', 'washer', 'ring', 'needed', 'measure', 'lamp', 'socket']"
row_15_chunk_0,C6Q32696,Electronics,yes/no,2013-11-24,0,need speakers sony bdpbx510 yes play normal dvds recorded mp4 windows media ect check make sure plays types files blue ray lot lines resolution giving better picture quality match tv 720 1080 get nice picture,Electronics yes/no need speakers sony bdpbx510 yes play normal dvds recorded mp4 windows media ect check make sure plays types files blue ray lot lines resolution giving better picture quality match tv 720 1080 get nice picture,"['electronics', 'yes', 'no', 'need', 'speakers', 'sony', 'bdpbx510', 'yes', 'play', 'normal', 'dvds', 'recorded', 'mp4', 'windows', 'media', 'ect', 'check', 'make', 'sure', 'plays', 'types', 'files', 'blue', 'ray', 'lot', 'lines', 'resolution', 'giving', 'better', 'picture', 'quality', 'match', 'tv', '720', '1080', 'get', 'nice', 'picture']"
row_16_chunk_0,C6Q98,Electronics,open-ended,2014-01-27,0,come case 44lbs according slik wouldnt push past five however holds dslr 75300 without problems,Electronics open-ended come case 44lbs according slik wouldnt push past five however holds dslr 75300 without problems,"['electronics', 'open', 'ended', 'come', 'case', '44lbs', 'according', 'slik', 'wouldnt', 'push', 'past', 'five', 'however', 'holds', 'dslr', '75300', 'without', 'problems']"
row_17_chunk_0,C11Q2362,Office Products,open-ended,2013-09-09,0,1 core wont size dont hole cut roll dymo print recognize sheet keep coming go print label,Office Products open-ended 1 core wont size dont hole cut roll dymo print recognize sheet keep coming go print label,"['office', 'products', 'open', 'ended', '1', 'core', 'wont', 'size', 'dont', 'hole', 'cut', 'roll', 'dymo', 'print', 'recognize', 'sheet', 'keep', 'coming', 'go', 'print', 'label']"
row_18_chunk_0,C1Q5811,Automotive,yes/no,2014-05-29,0,original headlights yes unpackage bolt right,Automotive yes/no original headlights yes unpackage bolt right,"['automotive', 'yes', 'no', 'original', 'headlights', 'yes', 'unpackage', 'bolt', 'right']"
row_19_chunk_0,C4Q3679,Cell Phones and Accessories,open-ended,2013-09-11,0,work ios 7 yes works mine,Cell Phones and Accessories open-ended work ios 7 yes works mine,"['cell', 'phones', 'and', 'accessories', 'open', 'ended', 'work', 'ios', '7', 'yes', 'works', 'mine']"
row_20_chunk_0,C9Q2506,Home and Kitchen,open-ended,2013-12-26,0,many records hold actually put rack dividers putting together table screwing predrilled holes yes guess could choose intall rack dividers however would leave 8 round holds bottom table,Home and Kitchen open-ended many records hold actually put rack dividers putting together table screwing predrilled holes yes guess could choose intall rack dividers however would leave 8 round holds bottom table,"['home', 'and', 'kitchen', 'open', 'ended', 'many', 'records', 'hold', 'actually', 'put', 'rack', 'dividers', 'putting', 'together', 'table', 'screwing', 'predrilled', 'holes', 'yes', 'guess', 'could', 'choose', 'intall', 'rack', 'dividers', 'however', 'would', 'leave', '8', 'round', 'holds', 'bottom', 'table']"
row_21_chunk_0,C9Q13077,Home and Kitchen,open-ended,2013-12-17,0,size king rosette im sure fits handdles one came handle arleady available,Home and Kitchen open-ended size king rosette im sure fits handdles one came handle arleady available,"['home', 'and', 'kitchen', 'open', 'ended', 'size', 'king', 'rosette', 'im', 'sure', 'fits', 'handdles', 'one', 'came', 'handle', 'arleady', 'available']"
row_22_chunk_0,C7Q2626,Grocery and Gourmet Food,yes/no,2013-12-06,0,made high fructose corn syrup yes fruitcake contain liquor brandy,Grocery and Gourmet Food yes/no made high fructose corn syrup yes fruitcake contain liquor brandy,"['grocery', 'and', 'gourmet', 'food', 'yes', 'no', 'made', 'high', 'fructose', 'corn', 'syrup', 'yes', 'fruitcake', 'contain', 'liquor', 'brandy']"
row_23_chunk_0,C6Q14442,Electronics,open-ended,2014-08-09,0,compatible 2008 grand marquis yes,Electronics open-ended compatible 2008 grand marquis yes,"['electronics', 'open', 'ended', 'compatible', '2008', 'grand', 'marquis', 'yes']"
row_24_chunk_0,C13Q2185,Pet Supplies,open-ended,2015-02-10,0,would okay keep aggressive better much water pressuremovement bettas 12 inches front back aquarium,Pet Supplies open-ended would okay keep aggressive better much water pressuremovement bettas 12 inches front back aquarium,"['pet', 'supplies', 'open', 'ended', 'would', 'okay', 'keep', 'aggressive', 'better', 'much', 'water', 'pressuremovement', 'bettas', '12', 'inches', 'front', 'back', 'aquarium']"
row_25_chunk_0,C6Q19860,Electronics,open-ended,2013-01-15,0,work ipod touch generation 14 sure 2nd 3rd ipod would imagine universal honest system great money much eton great purchase,Electronics open-ended work ipod touch generation 14 sure 2nd 3rd ipod would imagine universal honest system great money much eton great purchase,"['electronics', 'open', 'ended', 'work', 'ipod', 'touch', 'generation', '14', 'sure', '2nd', '3rd', 'ipod', 'would', 'imagine', 'universal', 'honest', 'system', 'great', 'money', 'much', 'eton', 'great', 'purchase']"
row_26_chunk_0,C14Q15256,Sports and Outdoors,yes/no,2013-07-29,0,rack metal took old system stretched floor,Sports and Outdoors yes/no rack metal took old system stretched floor,"['sports', 'and', 'outdoors', 'yes', 'no', 'rack', 'metal', 'took', 'old', 'system', 'stretched', 'floor']"
row_27_chunk_0,C15Q2609,Tools and Home Improvement,yes/no,2014-07-13,0,unit left outside elements ie waterresitent enough withstand rain combined output,Tools and Home Improvement yes/no unit left outside elements ie waterresitent enough withstand rain combined output,"['tools', 'and', 'home', 'improvement', 'yes', 'no', 'unit', 'left', 'outside', 'elements', 'ie', 'waterresitent', 'enough', 'withstand', 'rain', 'combined', 'output']"
row_28_chunk_0,C16Q2204,Toys and Games,open-ended,2014-11-23,0,pogo stick company ship anywhere canada took good kids get going easier older kids young one think light cant even bounce yes need breaking,Toys and Games open-ended pogo stick company ship anywhere canada took good kids get going easier older kids young one think light cant even bounce yes need breaking,"['toys', 'and', 'games', 'open', 'ended', 'pogo', 'stick', 'company', 'ship', 'anywhere', 'canada', 'took', 'good', 'kids', 'get', 'going', 'easier', 'older', 'kids', 'young', 'one', 'think', 'light', 'cant', 'even', 'bounce', 'yes', 'need', 'breaking']"
row_29_chunk_0,C6Q23599,Electronics,open-ended,2014-06-26,0,resolution put input comes rca cables im guessing even support 720p first running regular video feed cameras five different locations installed professional video cameras projectors hd still feeding 5 monitots channel plus resolution upgraded like projection system good unit church pleased,Electronics open-ended resolution put input comes rca cables im guessing even support 720p first running regular video feed cameras five different locations installed professional video cameras projectors hd still feeding 5 monitots channel plus resolution upgraded like projection system good unit church pleased,"['electronics', 'open', 'ended', 'resolution', 'put', 'input', 'comes', 'rca', 'cables', 'im', 'guessing', 'even', 'support', '720p', 'first', 'running', 'regular', 'video', 'feed', 'cameras', 'five', 'different', 'locations', 'installed', 'professional', 'video', 'cameras', 'projectors', 'hd', 'still', 'feeding', '5', 'monitots', 'channel', 'plus', 'resolution', 'upgraded', 'like', 'projection', 'system', 'good', 'unit', 'church', 'pleased']"
row_30_chunk_0,C6Q18406,Electronics,open-ended,2013-10-24,0,purchase extra slide stoppers go bottom case comes 4 goes corner keep sliding yes fit mine 133inch macbook pro 25ghz dualcore intel core i5 retina display octoberlate 2012,Electronics open-ended purchase extra slide stoppers go bottom case comes 4 goes corner keep sliding yes fit mine 133inch macbook pro 25ghz dualcore intel core i5 retina display octoberlate 2012,"['electronics', 'open', 'ended', 'purchase', 'extra', 'slide', 'stoppers', 'go', 'bottom', 'case', 'comes', '4', 'goes', 'corner', 'keep', 'sliding', 'yes', 'fit', 'mine', '133inch', 'macbook', 'pro', '25ghz', 'dualcore', 'intel', 'core', 'i5', 'retina', 'display', 'octoberlate', '2012']"
row_31_chunk_0,C9Q5,Home and Kitchen,open-ended,2014-04-27,0,american made product 12 34 inch careful pressing hard take bottom apple,Home and Kitchen open-ended american made product 12 34 inch careful pressing hard take bottom apple,"['home', 'and', 'kitchen', 'open', 'ended', 'american', 'made', 'product', '12', '34', 'inch', 'careful', 'pressing', 'hard', 'take', 'bottom', 'apple']"
row_32_chunk_0,C12Q4321,Patio Lawn and Garden,open-ended,2013-08-21,0,get applicator tip get one got tube plunger tube short red tip screwed closed thanks put 34 drop blob gel near beginning end stream ants careful disturb stream making certain inaccessable pets like magic ants gone within two days,Patio Lawn and Garden open-ended get applicator tip get one got tube plunger tube short red tip screwed closed thanks put 34 drop blob gel near beginning end stream ants careful disturb stream making certain inaccessable pets like magic ants gone within two days,"['patio', 'lawn', 'and', 'garden', 'open', 'ended', 'get', 'applicator', 'tip', 'get', 'one', 'got', 'tube', 'plunger', 'tube', 'short', 'red', 'tip', 'screwed', 'closed', 'thanks', 'put', '34', 'drop', 'blob', 'gel', 'near', 'beginning', 'end', 'stream', 'ants', 'careful', 'disturb', 'stream', 'making', 'certain', 'inaccessable', 'pets', 'like', 'magic', 'ants', 'gone', 'within', 'two', 'days']"
row_33_chunk_0,C8Q6999,Health and Personal Care,open-ended,2013-08-13,0,weight limit specs bench say 400 lbs heavy duty sturdy stable,Health and Personal Care open-ended weight limit specs bench say 400 lbs heavy duty sturdy stable,"['health', 'and', 'personal', 'care', 'open', 'ended', 'weight', 'limit', 'specs', 'bench', 'say', '400', 'lbs', 'heavy', 'duty', 'sturdy', 'stable']"
row_34_chunk_0,C8Q370,Health and Personal Care,open-ended,2014-03-20,0,chinese letters package yes ship china,Health and Personal Care open-ended chinese letters package yes ship china,"['health', 'and', 'personal', 'care', 'open', 'ended', 'chinese', 'letters', 'package', 'yes', 'ship', 'china']"
row_35_chunk_0,C6Q16072,Electronics,open-ended,2014-12-10,0,come mounting bracket need buy one yes seems thing doesnt weather band stationnever used big loss,Electronics open-ended come mounting bracket need buy one yes seems thing doesnt weather band stationnever used big loss,"['electronics', 'open', 'ended', 'come', 'mounting', 'bracket', 'need', 'buy', 'one', 'yes', 'seems', 'thing', 'doesnt', 'weather', 'band', 'stationnever', 'used', 'big', 'loss']"
row_36_chunk_0,C14Q866,Sports and Outdoors,open-ended,2014-01-24,0,coaster brakes hand brakes would say yes 4 year old rides 6 year old could handle well,Sports and Outdoors open-ended coaster brakes hand brakes would say yes 4 year old rides 6 year old could handle well,"['sports', 'and', 'outdoors', 'open', 'ended', 'coaster', 'brakes', 'hand', 'brakes', 'would', 'say', 'yes', '4', 'year', 'old', 'rides', '6', 'year', 'old', 'could', 'handle', 'well']"
row_37_chunk_0,C14Q13381,Sports and Outdoors,open-ended,2012-12-21,0,get gi knifefork spoon mess kit mess kit new unused military surplus near impossible find new utensils,Sports and Outdoors open-ended get gi knifefork spoon mess kit mess kit new unused military surplus near impossible find new utensils,"['sports', 'and', 'outdoors', 'open', 'ended', 'get', 'gi', 'knifefork', 'spoon', 'mess', 'kit', 'mess', 'kit', 'new', 'unused', 'military', 'surplus', 'near', 'impossible', 'find', 'new', 'utensils']"
row_38_chunk_0,C9Q15472,Home and Kitchen,open-ended,2013-05-04,0,olive color green photo shows gray like ive seen sites light reading lamp lights america shade olives recently purchased jar large olives subdued darker regular ambient incandescent light,Home and Kitchen open-ended olive color green photo shows gray like ive seen sites light reading lamp lights america shade olives recently purchased jar large olives subdued darker regular ambient incandescent light,"['home', 'and', 'kitchen', 'open', 'ended', 'olive', 'color', 'green', 'photo', 'shows', 'gray', 'like', 'ive', 'seen', 'sites', 'light', 'reading', 'lamp', 'lights', 'america', 'shade', 'olives', 'recently', 'purchased', 'jar', 'large', 'olives', 'subdued', 'darker', 'regular', 'ambient', 'incandescent', 'light']"
row_39_chunk_0,C9Q2540,Home and Kitchen,open-ended,2013-03-15,0,wide pot base dont know think largest one big may try,Home and Kitchen open-ended wide pot base dont know think largest one big may try,"['home', 'and', 'kitchen', 'open', 'ended', 'wide', 'pot', 'base', 'dont', 'know', 'think', 'largest', 'one', 'big', 'may', 'try']"
row_40_chunk_0,C6Q26287,Electronics,open-ended,2015-05-22,0,anyone know extender work lens canon 7dii tamron told extenders work film cameras 14 tamrom tc works reasonably well slows lens one step might slight image degradation autofocus good luck,Electronics open-ended anyone know extender work lens canon 7dii tamron told extenders work film cameras 14 tamrom tc works reasonably well slows lens one step might slight image degradation autofocus good luck,"['electronics', 'open', 'ended', 'anyone', 'know', 'extender', 'work', 'lens', 'canon', '7dii', 'tamron', 'told', 'extenders', 'work', 'film', 'cameras', '14', 'tamrom', 'tc', 'works', 'reasonably', 'well', 'slows', 'lens', 'one', 'step', 'might', 'slight', 'image', 'degradation', 'autofocus', 'good', 'luck']"
row_41_chunk_0,C4Q8610,Cell Phones and Accessories,open-ended,2012-11-25,0,work iphone 4s,Cell Phones and Accessories open-ended work iphone 4s,"['cell', 'phones', 'and', 'accessories', 'open', 'ended', 'work', 'iphone', '4s']"
row_42_chunk_0,C6Q13601,Electronics,open-ended,2013-12-27,0,replace batteries batteries dead nsz40gt1 completely compatible,Electronics open-ended replace batteries batteries dead nsz40gt1 completely compatible,"['electronics', 'open', 'ended', 'replace', 'batteries', 'batteries', 'dead', 'nsz40gt1', 'completely', 'compatible']"
row_43_chunk_0,C9Q2766,Home and Kitchen,open-ended,2014-09-17,0,long cord thanks consume much power connect timer put timer 3 hrs dry towels towel dryer heater,Home and Kitchen open-ended long cord thanks consume much power connect timer put timer 3 hrs dry towels towel dryer heater,"['home', 'and', 'kitchen', 'open', 'ended', 'long', 'cord', 'thanks', 'consume', 'much', 'power', 'connect', 'timer', 'put', 'timer', '3', 'hrs', 'dry', 'towels', 'towel', 'dryer', 'heater']"
row_44_chunk_0,C9Q23473,Home and Kitchen,open-ended,2014-12-21,0,220v 110v warranty product ship country manual dispensing option electric button,Home and Kitchen open-ended 220v 110v warranty product ship country manual dispensing option electric button,"['home', 'and', 'kitchen', 'open', 'ended', '220v', '110v', 'warranty', 'product', 'ship', 'country', 'manual', 'dispensing', 'option', 'electric', 'button']"
row_45_chunk_0,C8Q366,Health and Personal Care,open-ended,2014-01-05,0,big individual pills march 2015,Health and Personal Care open-ended big individual pills march 2015,"['health', 'and', 'personal', 'care', 'open', 'ended', 'big', 'individual', 'pills', 'march', '2015']"
row_46_chunk_0,C6Q7667,Electronics,yes/no,2014-02-15,0,charger work fitbit one sorry im sure used mine flex,Electronics yes/no charger work fitbit one sorry im sure used mine flex,"['electronics', 'yes', 'no', 'charger', 'work', 'fitbit', 'one', 'sorry', 'im', 'sure', 'used', 'mine', 'flex']"
row_47_chunk_0,C4Q891,Cell Phones and Accessories,yes/no,2014-04-26,0,come packaging come screen protector,Cell Phones and Accessories yes/no come packaging come screen protector,"['cell', 'phones', 'and', 'accessories', 'yes', 'no', 'come', 'packaging', 'come', 'screen', 'protector']"
row_48_chunk_0,C8Q4308,Health and Personal Care,open-ended,2014-12-25,0,battery charger best im sure wouldnt advise scanner able charge nimh auto shutoff capabilities,Health and Personal Care open-ended battery charger best im sure wouldnt advise scanner able charge nimh auto shutoff capabilities,"['health', 'and', 'personal', 'care', 'open', 'ended', 'battery', 'charger', 'best', 'im', 'sure', 'wouldnt', 'advise', 'scanner', 'able', 'charge', 'nimh', 'auto', 'shutoff', 'capabilities']"
row_49_chunk_0,C1Q9799,Automotive,yes/no,2014-09-06,0,fit nissan xterra 2008 doubt one specifically fit crv im sure make one xterra check curts website model number curtmfgcom call helpful,Automotive yes/no fit nissan xterra 2008 doubt one specifically fit crv im sure make one xterra check curts website model number curtmfgcom call helpful,"['automotive', 'yes', 'no', 'fit', 'nissan', 'xterra', '2008', 'doubt', 'one', 'specifically', 'fit', 'crv', 'im', 'sure', 'make', 'one', 'xterra', 'check', 'curts', 'website', 'model', 'number', 'curtmfgcom', 'call', 'helpful']"
row_50_chunk_0,C6Q17298,Electronics,open-ended,2014-08-08,0,im looking pc312800 ddr3 1600 mhz type ram 204 pin 4x2 gb mac need yes note book support 8gb ddr3 memory,Electronics open-ended im looking pc312800 ddr3 1600 mhz type ram 204 pin 4x2 gb mac need yes note book support 8gb ddr3 memory,"['electronics', 'open', 'ended', 'im', 'looking', 'pc312800', 'ddr3', '1600', 'mhz', 'type', 'ram', '204', 'pin', '4x2', 'gb', 'mac', 'need', 'yes', 'note', 'book', 'support', '8gb', 'ddr3', 'memory']"
row_51_chunk_0,C10Q2686,Musical Instruments,open-ended,2014-05-10,0,hey singing 13 years really want mic question fender sound machine two speakersand plug mics plug bigthey arent tiny ones sometimes see size input hole microphonesim wondering could use chords ill buy new ones mic mic works chords small input hey singing 13 years really want mic question fender sound machine two speakersand plug mics plug bigthey » read hey singing 13 years really want mic question fender sound machine two speakersand plug mics plug bigthey arent tiny ones sometimes see size input hole microphonesim wondering could use chords ill buy new ones mic mic works chords small input « show less polished stainless,Musical Instruments open-ended hey singing 13 years really want mic question fender sound machine two speakersand plug mics plug bigthey arent tiny ones sometimes see size input hole microphonesim wondering could use chords ill buy new ones mic mic works chords small input hey singing 13 years really want mic question fender sound machine two speakersand plug mics plug bigthey » read hey singing 13 years really want mic question fender sound machine two speakersand plug mics plug bigthey arent tiny ones sometimes see size input hole microphonesim wondering could use chords ill buy new ones mic mic works chords small input « show less polished stainless,"['musical', 'instruments', 'open', 'ended', 'hey', 'singing', '13', 'years', 'really', 'want', 'mic', 'question', 'fender', 'sound', 'machine', 'two', 'speakersand', 'plug', 'mics', 'plug', 'bigthey', 'arent', 'tiny', 'ones', 'sometimes', 'see', 'size', 'input', 'hole', 'microphonesim', 'wondering', 'could', 'use', 'chords', 'ill', 'buy', 'new', 'ones', 'mic', 'mic', 'works', 'chords', 'small', 'input', 'hey', 'singing', '13', 'years', 'really', 'want', 'mic', 'question', 'fender', 'sound', 'machine', 'two', 'speakersand', 'plug', 'mics', 'plug', 'bigthey', 'read', 'hey', 'singing', '13', 'years', 'really', 'want', 'mic', 'question', 'fender', 'sound', 'machine', 'two', 'speakersand', 'plug', 'mics', 'plug', 'bigthey', 'arent', 'tiny', 'ones', 'sometimes', 'see', 'size', 'input', 'hole', 'microphonesim', 'wondering', 'could', 'use', 'chords', 'ill', 'buy', 'new', 'ones', 'mic', 'mic', 'works', 'chords', 'small', 'input', 'show', 'less', 'polished', 'stainless']"
row_52_chunk_0,C4Q847,Cell Phones and Accessories,yes/no,2014-02-12,0,use uruguay gsm simcard work peru claro,Cell Phones and Accessories yes/no use uruguay gsm simcard work peru claro,"['cell', 'phones', 'and', 'accessories', 'yes', 'no', 'use', 'uruguay', 'gsm', 'simcard', 'work', 'peru', 'claro']"
row_53_chunk_0,C14Q11661,Sports and Outdoors,yes/no,2013-12-31,0,take 6mm bbs nope,Sports and Outdoors yes/no take 6mm bbs nope,"['sports', 'and', 'outdoors', 'yes', 'no', 'take', '6mm', 'bbs', 'nope']"
